,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ID,Name ID,Race,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Alignment  1,Alignment 2,Guest Character Identity,Guest Character Conditions?,Unknown,Level,Compendium,Unknown,Unknown,Unknown,Unknown,Basic Attack Hit,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,HP,MP,HP Growth,MP Growth,Strength,Vitality,Magic,Agility,Luck,Strength Growth,Vitality Growth,Magic Growth,Agility Growth,Luck Growth,Growth Total,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Guest Character,Unknown,Unknown,Unknown,Unknown,Compendium Cost Multiplier?,Unknown,Unknown,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill Level 1,Skill at Skill Level 1,Skill Level 2,Skill at Skill Level 2,Skill Level 3,Skill at Skill Level 3,Skill Level 4,Skill at Skill Level 4,Skill Level 5,Skill at Skill Level 5,Skill Level 6,Skill at Skill Level 6,Skill Level 7,Skill at Skill Level 7,Skill Level 8,Skill at Skill Level 8,Skill Level 9,Skill at Skill Level 9,Skill Level 10,Skill at Skill Level 10,Skill Level 11,Skill at Skill Level 11,Skill Level 12,Skill at Skill Level 12,Innate Skill,Phys,Fire,Ice,Elec,Force,Light,Dark,Almighty,Poison,Vertigo,Confusion,Charm,Sleep,Seal,Stray,Burn,Freeze,Shock,Laceration,Stone,Mirage,Mud,Recv00,Recv01,Recv02,Recv03,Recv04,Recv05,PotPhys,PotFire,PotIce,PotElec,PotForce,PotLight,PotDark,PotAlmighty,PotAilment,PotSupport,PotHeal,Recovery NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
NOT USED:CHR_NAME_000,0,0,17 (Fairy),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,34,55,21,20,4,5,4,4,4,20,21,20,19,20,100,0,10,0,0,0,0,0,0,0,0,200,0,0,0,0,0,1000,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Satan,1,1,48 (Primal),0,1,0,0,0,1,2 (Light),4 (Law),0,0,0,99,1,0,1,1,0,98,0,5,100,70,100,0,700,550,23,23,103,72,103,61,70,24,19,24,15,18,100,10,11,1,1,89,6,0,0,0,0,0,0,242,30,0,0,100,4,0,Skill_MegidoArk (919),Skill_AkashicArts (160),Skill_Trisagion (8),Skill_HighAlmightyPleroma (506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skill_Adversary_PassivePart (690),50,Drain (1000),100,100,100,Drain (1000),Drain (1000),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,6,6,3,3,3,0,0,7,-5,2,-2,-2,0,0,120,0,120,0
Lucifer,2,2,38 (Devil),0,1,0,0,0,1,3 (Dark),5 (Chaos),0,0,0,99,1,0,1,1,0,98,0,5,100,70,100,0,650,650,22,24,73,92,108,65,73,16,23,27,14,20,100,10,11,1,1,90,6,0,0,0,0,0,0,232,30,0,0,100,4,0,Skill_RootofEvil (875),Skill_Trisagion (8),Skill_IceAge (23),Skill_Diarahan (99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skill_DawnofDemise (710),100,100,Repel (999),Repel (999),100,125,Repel (999),100,100,100,Null (0),Null (0),Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,4,4,2,2,-8,3,7,0,0,1,1,0,0,120,0,120,0
Jack Frost,3,58,10 (Deity),0,1,0,0,0,1,1 (Neutral),1 (Neutral),0,0,0,1,0,0,1,1,0,98,0,5,100,70,100,0,30,69,18,25,3,4,6,5,5,13,16,28,21,22,100,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Dagda,4,4,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,80,1,0,1,1,0,98,0,5,100,70,100,0,559,339,24,20,85,65,43,43,41,33,29,10,14,14,100,10,11,1,1,91,0,0,0,0,0,0,0,243,30,0,0,100,4,0,Skill_LostHit (871),Skill_HadesBlast (163),Skill_PowerPunch (170),Skill_LusterCandy (126),,,,,,,,,81,77,83,490,84,402,,,,,,,,,,,,,,,,,,,Skill_MagicHarp (636),100,Null (0),Null (0),Null (0),Null (0),125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,6,0,0,0,0,-4,-4,3,0,0,0,0,0,0,120,0,120,0
Jack Frost,5,58,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,99,0,0,1,1,0,98,0,5,100,70,100,0,631,447,21,20,63,67,63,61,63,20,21,20,19,20,100,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Jack Frost,6,58,10 (Deity),0,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,99,0,0,1,1,0,98,0,5,100,70,100,0,631,447,21,20,63,67,63,61,63,20,21,20,19,20,100,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0
Khonsu,7,7,10 (Deity),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,62,1,0,1,1,0,98,0,5,100,70,100,0,358,293,21,21,49,42,53,30,44,23,19,24,14,20,100,10,5,1,1,44,0,0,0,0,0,0,0,194,2,0,0,100,4,0,Skill_Karnak (257),Skill_DarkSword (188),Skill_Agidyne (5),Skill_Hamaon (68),,,,,,,,,63,71,64,401,65,136,,,,,,,,,,,,,,,,,,,Skill_DivineDismantlement (626),100,50,125,100,100,Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3,4,-5,0,0,5,0,0,0,3,0,0,0,0,120,0,120,0
Zeus,8,8,10 (Deity),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,86,1,0,1,1,0,98,0,5,100,70,100,0,520,448,22,23,73,56,62,82,54,21,18,17,26,18,100,10,3,1,1,43,0,0,0,0,0,0,0,167,2,0,0,100,4,0,Skill_Keraunos (282),Skill_MadnessGlint (378),Skill_PantaSpane (379),Skill_ImpalersAnimus (148),,,,,,,,,87,42,88,496,89,415,,,,,,,,,,,,,,,,,,,Skill_Herkeios (643),100,100,100,Null (0),125,Null (0),Null (0),100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4,0,0,6,-6,0,0,2,0,1,0,0,0,0,120,0,120,0
Odin,9,9,10 (Deity),1,1,0,0,0,1,2 (Light),1 (Neutral),0,0,0,77,1,0,1,1,0,98,0,5,100,70,100,0,477,345,21,20,65,58,57,48,32,25,21,23,19,12,100,10,3,1,1,42,6,0,0,0,0,0,0,166,2,0,0,100,4,0,Skill_Gungnir (232),Skill_FigmentSlash (194),Skill_HadesBlast (163),Skill_Maziobarion (42),,,,,,,,,78,144,79,43,80,496,,,,,,,,,,,,,,,,,,,Skill_RunesofWisdom (540),100,100,100,Repel (999),125,Null (0),Null (0),100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,6,0,0,4,-6,0,0,0,0,1,0,0,0,0,120,0,120,0
