,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Size
Offset in data table (for modders),0x20 (32),0x28 (40),0x2A (42),0x2C (44),0x2D (45),0x2E (46),0x2F (47),0x38 (56),0x3D (61),0x3F (63),0x40 (64),0x41 (65),0x42 (66),0x43 (67),0x44 (68),0x45 (69),0x46 (70),0x48 (72),0x4C (76),0x50 (80),0x54 (84),0x55 (85),0x56 (86),0x58 (88),0x59 (89),0x5A (90),0x5B (91),0x5E (94),0x63 (99),0x64 (100),0x66 (102),0x68 (104),0x69 (105),0x6B (107),0x6C (108),0x70 (112),0x74 (116),0x78 (120),0x80 (128),0x81 (129),0x82 (130),0x83 (131),0x84 (132),0x85 (133),0x86 (134),0x87 (135),0x88 (136),0x8C (140),0x65 (101),0x8D (141),0x8E (142),0x90 (144),0x91 (145),0x92 (146),0x93 (147),0x94 (148),0x98 (152),0x9C (156),0xA0 (160),0xA8 (168),0xA9 (169),0xAA (170),0xAB (171),0xAC (172),0xAD (173),0xAE (174),0xB0 (176),0xB4 (180),0xB5 (181),0xB6 (182),0xB8 (184),0xBE (190),0xBF (191),,Params right of here are only useful to modders,0x0 (0),0x2B (43),0x30 (48),0x34 (52),0x3C (60),0x3E (62),0x47 (71),0x57 (87),0x5C (92),0x5D (93),0x5F (95),0x60 (96),0x61 (97),0x62 (98),0x67 (103),0x6A (106),0x7C (124),0x8F (143),0xA4 (164),0xBC (188),0xBD (189),0xC0 (192),0xC1 (193),0xC2 (194),0xC3 (195),0xC4 (196)
Size in data table (for modders),8,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,2,4,1,1,2,4,1,1,,,32,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,
Skill Name,Skill ID,MP Cost,Skill Type,Skill Attribute 1,Skill Attribute 2,Skill Attribute 3,Skill Atttribute 4,Unique To,Skill Potential Category 1,Skill Potential Modifier 1,Skill Potential Modifier 2,Skill Potential Modifier 3,Target Selection Method,Usable in Battle or Field,Min Hits,Max Hits,Crit Bonus,Base Power,Act Value,Stan Value,Hit,Death,Poison,Confuse,Charm,Sleep,Seal,Mirage,Mud,Shroud,Piercing,Ailment Rate,Ailments to Cure,Buff Time,Physical Attack Buff,Magic Attack Buff,Defense Buff,Speed Buff,Buff Resistance Turns,Phys Resistance To,Fire Resistance To,Ice Resistance To,Elec Resistance To,Force Resistance To,Dark Resistance To,Light Resistance To,Heal Power,Heal %,Heal to % of Max,Drain HP %,Drain MP %,Skill Tier,"""Scripture""",Compendium Entry,Magatsuhi,Magatsuhi Race 1,Magatsuhi Race 2,CompendiumCost,Skill to Execute on Hit,Effect 1,Effect 2,Effect 3,Effect 4,Overwrite Condition #1,Overwrite Condition Ailment #1,Overwrite Field on Condition #1,Overwrite Field with Value #1,Overwrite Condition #2,Overwrite Condition Ailment #2,Overwrite Field on Condition #2,Overwrite Field with Value #2,Unaffected by Seal,Unaffected by Confuse/Charm,,,Skill Action Filename,Skill Hit Stamp,Name Sort ID,List Sort ID,Skill Icon,Skill Potential Category 2,Nahobino Motion,Vertigo,Stray,Stone,Burn,Shock,Freeze,Laceration,Moon Age Turn,Ailments to Combo,Tetraja,Effect on Kill,HitEffectTypes,Disable Skip,Disable Show Skill Name,Convert Item Effect,Padding,Padding,Padding,
Agi,1,10,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,130,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,1,TRUE,TRUE,,,,220,,,,,,,,,,,,,,FALSE,FALSE,,,sk_100,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),7,6030,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),8,,,,,,,
NOT USED:SKILL_NAME_SKILL_ID_002,2,0,0 (E_SKILL_TYPE_PHYSICAL_ATK),0 (Physical),32 (Invalid),32 (Invalid),32 (Invalid),,0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,1,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,0,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,0,0 (E_SKILL_HIT_STAMP_TYPE_NONE),999,99999,0 (E_SKILL_ICON_PHISICS),0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0 (Physical),,,,,,,,
Agilao,3,20,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,160,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,8,TRUE,TRUE,,,,578,,,,,,,,,,,,,,FALSE,FALSE,,,sk_101,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),10,6240,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),8,,,,,,,
NOT USED:SKILL_NAME_SKILL_ID_004,4,0,0 (E_SKILL_TYPE_PHYSICAL_ATK),0 (Physical),32 (Invalid),32 (Invalid),32 (Invalid),,0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,1,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,0,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,0,0 (E_SKILL_HIT_STAMP_TYPE_NONE),999,99999,0 (E_SKILL_ICON_PHISICS),0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0 (Physical),,,,,,,,
Agidyne,5,35,1 (E_SKILL_TYPE_MAGIC_ATK),1 (Fire),32 (Invalid),32 (Invalid),32 (Invalid),,1 (E_SKILL_TEKISEI_CATEGORY_FIRE),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,215,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,18,TRUE,TRUE,,,,1800,,,,,,,,,,,,,,FALSE,FALSE,,,sk_102,3 (E_SKILL_HIT_STAMP_TYPE_FIRE),8,6540,1 (E_SKILL_ICON_FIRE),13 (E_SKILL_TEKISEI_CATEGORY_INVALID),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1 (Fire),8,,,,,,,
NOT USED:SKILL_NAME_SKILL_ID_006,6,0,0 (E_SKILL_TYPE_PHYSICAL_ATK),0 (Physical),32 (Invalid),32 (Invalid),32 (Invalid),,0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),1 (Damage),2 (Affliction),5 (CostAttacking),0 (1 foe),2 (E_SKILL_ENABLE_SCENE_BATTLE),1,1,,1,100,100,98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,0,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,0,0 (E_SKILL_HIT_STAMP_TYPE_NONE),999,99999,0 (E_SKILL_ICON_PHISICS),0 (E_SKILL_TEKISEI_CATEGORY_PHISICS),0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0 (Physical),,,,,,,,
